,id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
0,69074,160139,CENTRAL & WESTERN,22.283520000000003,114.15018,Entire home/apt,1408,3,130,1,159
2,103760,304876,CENTRAL & WESTERN,22.28407,114.1557,Entire home/apt,853,2,260,12,329
3,132773,304876,CENTRAL & WESTERN,22.28868,114.14493999999999,Entire home/apt,1056,2,259,12,308
4,133390,654642,CENTRAL & WESTERN,22.28343,114.15539,Entire home/apt,939,2,27,1,91
5,163214,767910,CENTRAL & WESTERN,22.28494,114.15251,Entire home/apt,1048,5,0,1,83
6,163664,304876,CENTRAL & WESTERN,22.28651,114.14873999999999,Entire home/apt,696,2,208,12,284
7,163742,304876,CENTRAL & WESTERN,22.286939999999998,114.14855,Entire home/apt,775,2,216,12,307
9,228510,1192493,YAU TSIM MONG,22.309829999999998,114.16911,Private room,696,1,17,1,365
11,248140,1300549,CENTRAL & WESTERN,22.28291,114.15137,Entire home/apt,994,2,153,1,142
12,262212,1375696,WAN CHAI,22.27626,114.17293000000001,Entire home/apt,1314,1,73,18,4
13,263081,1370155,CENTRAL & WESTERN,22.27757,114.15205,Private room,4303,10,0,1,0
14,274589,1435069,WAN CHAI,22.2794,114.17118,Entire home/apt,1080,2,231,1,348
15,277437,1443229,CENTRAL & WESTERN,22.28359,114.13138000000001,Entire home/apt,900,2,41,6,342
16,278277,1452499,WAN CHAI,22.27938,114.17368,Entire home/apt,1549,3,238,7,298
18,284141,1469210,CENTRAL & WESTERN,22.283170000000002,114.15028000000001,Entire home/apt,626,2,22,1,0
19,290161,1505903,CENTRAL & WESTERN,22.28114,114.15306000000001,Entire home/apt,782,1,34,1,0
20,306515,1576511,CENTRAL & WESTERN,22.282220000000002,114.15448,Entire home/apt,1056,30,20,1,194
21,320446,1375696,WAN CHAI,22.27599,114.17976000000002,Private room,1001,1,15,18,76
22,320447,1375696,WAN CHAI,22.27711,114.17772,Entire home/apt,2253,1,102,18,198
23,327095,1529119,WAN CHAI,22.27909,114.17205,Entire home/apt,1158,3,226,1,307
25,355748,1267685,WAN CHAI,22.277160000000002,114.18786999999999,Private room,297,14,5,7,10
26,389017,1946293,WAN CHAI,22.27814,114.19228000000001,Private room,485,2,40,2,364
27,405722,2022316,CENTRAL & WESTERN,22.2816,114.15042,Entire home/apt,1017,1,0,1,0
28,410921,1375696,WAN CHAI,22.27736,114.17948999999999,Private room,782,1,18,18,76
29,412404,1991696,YAU TSIM MONG,22.29701,114.17138,Entire home/apt,548,1,217,3,325
30,415520,1564983,YAU TSIM MONG,22.305979999999998,114.1659,Entire home/apt,1001,3,434,2,102
31,442781,2200572,CENTRAL & WESTERN,22.28756,114.13367,Entire home/apt,1244,5,10,1,0
32,459463,2283777,WAN CHAI,22.27732,114.18291,Entire home/apt,383,1,74,16,365
33,463214,2296168,CENTRAL & WESTERN,22.28753,114.14308,Entire home/apt,1322,3,20,1,227
34,468754,2254012,WAN CHAI,22.28073,114.17838,Entire home/apt,1103,3,197,1,212
36,481671,2379932,CENTRAL & WESTERN,22.28571,114.15166,Entire home/apt,297,15,0,1,0
37,498484,2460679,YAU TSIM MONG,22.32193,114.16213,Entire home/apt,540,4,60,1,352
40,505456,1189239,CENTRAL & WESTERN,22.28356,114.14835,Entire home/apt,876,1,189,1,262
41,529539,2192939,WAN CHAI,22.27763,114.18318000000001,Entire home/apt,798,5,8,2,90
42,534106,2625423,CENTRAL & WESTERN,22.284029999999998,114.14192,Entire home/apt,1001,1,12,2,8
43,545658,2679225,CENTRAL & WESTERN,22.28276,114.12848000000001,Entire home/apt,751,5,2,1,0
44,548840,808933,CENTRAL & WESTERN,22.28505,114.14211,Entire home/apt,540,2,173,3,335
45,554138,635161,CENTRAL & WESTERN,22.28378,114.1476,Entire home/apt,876,2,8,1,0
47,562683,2767794,WAN CHAI,22.27787,114.17678000000001,Shared room,172,1,110,48,347
48,562775,2767794,WAN CHAI,22.27931,114.17663,Shared room,282,1,188,48,361
49,562795,2767794,WAN CHAI,22.27939,114.17777,Shared room,282,1,43,48,365
50,562808,2767794,WAN CHAI,22.277620000000002,114.17623999999999,Shared room,282,1,25,48,365
51,562817,2767794,WAN CHAI,22.277060000000002,114.17589,Shared room,282,1,155,48,362
52,562840,2767794,WAN CHAI,22.27759,114.17671000000001,Shared room,282,1,28,48,365
54,586083,1991696,YAU TSIM MONG,22.298460000000002,114.17233,Entire home/apt,454,1,292,3,285
55,598668,2961152,WAN CHAI,22.28124,114.18418,Private room,399,28,3,7,365
56,602959,1560343,CENTRAL & WESTERN,22.28774,114.14254,Entire home/apt,1174,2,2,1,361
63,621305,3079511,YAU TSIM MONG,22.31501,114.16906999999999,Entire home/apt,759,1,379,4,280
64,622020,3073447,CENTRAL & WESTERN,22.28387,114.14753,Entire home/apt,1197,5,28,1,0
66,645404,634820,YAU TSIM MONG,22.32619,114.16461000000001,Shared room,227,1,142,5,64
67,645950,3052154,YAU TSIM MONG,22.31629,114.1706,Entire home/apt,1001,4,162,4,173
68,646645,634820,YAU TSIM MONG,22.32612,114.1647,Private room,454,1,36,5,48
69,655190,808933,WAN CHAI,22.27871,114.18141999999999,Entire home/apt,696,2,171,3,326
70,668338,3383055,YAU TSIM MONG,22.31128,114.16836,Private room,297,1,107,10,365
71,669310,2083001,CENTRAL & WESTERN,22.28616,114.15247,Entire home/apt,853,2,181,5,309
72,672039,3383055,YAU TSIM MONG,22.31008,114.17026000000001,Private room,352,1,150,10,365
