,id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,cen_lat,cen_long,distance
0,69074,160139,CENTRAL & WESTERN,22.283520000000003,114.15018,Entire home/apt,1408,3,130,1,159,22.284189950400627,114.14648174742455,0.38749520974052243
2,103760,304876,CENTRAL & WESTERN,22.28407,114.1557,Entire home/apt,853,2,260,12,329,22.284189950400627,114.14648174742455,0.9479670902668408
3,132773,304876,CENTRAL & WESTERN,22.28868,114.14493999999999,Entire home/apt,1056,2,259,12,308,22.284189950400627,114.14648174742455,0.523535762665773
4,133390,654642,CENTRAL & WESTERN,22.28343,114.15539,Entire home/apt,939,2,27,1,91,22.284189950400627,114.14648174742455,0.9198841289360185
5,163214,767910,CENTRAL & WESTERN,22.28494,114.15251,Entire home/apt,1048,5,0,1,83,22.284189950400627,114.14648174742455,0.6254361218136077
6,163664,304876,CENTRAL & WESTERN,22.28651,114.14873999999999,Entire home/apt,696,2,208,12,284,22.284189950400627,114.14648174742455,0.3469695332336524
7,163742,304876,CENTRAL & WESTERN,22.286939999999998,114.14855,Entire home/apt,775,2,216,12,307,22.284189950400627,114.14648174742455,0.3723150609705231
9,228510,1192493,YAU TSIM MONG,22.309829999999998,114.16911,Private room,696,1,17,1,365,22.3080085266259,114.17104818774976,0.284033462309073
11,248140,1300549,CENTRAL & WESTERN,22.28291,114.15137,Entire home/apt,994,2,153,1,142,22.284189950400627,114.14648174742455,0.5223770583780931
12,262212,1375696,WAN CHAI,22.27626,114.17293000000001,Entire home/apt,1314,1,73,18,4,22.275147891304314,114.18205756086955,0.9467054395127772
13,263081,1370155,CENTRAL & WESTERN,22.27757,114.15205,Private room,4303,10,0,1,0,22.284189950400627,114.14648174742455,0.9322070009714026
14,274589,1435069,WAN CHAI,22.2794,114.17118,Entire home/apt,1080,2,231,1,348,22.275147891304314,114.18205756086955,1.2142571937082927
15,277437,1443229,CENTRAL & WESTERN,22.28359,114.13138000000001,Entire home/apt,900,2,41,6,342,22.284189950400627,114.14648174742455,1.554281100556534
16,278277,1452499,WAN CHAI,22.27938,114.17368,Entire home/apt,1549,3,238,7,298,22.275147891304314,114.18205756086955,0.9814826663280796
18,284141,1469210,CENTRAL & WESTERN,22.283170000000002,114.15028000000001,Entire home/apt,626,2,22,1,0,22.284189950400627,114.14648174742455,0.406673064709685
19,290161,1505903,CENTRAL & WESTERN,22.28114,114.15306000000001,Entire home/apt,782,1,34,1,0,22.284189950400627,114.14648174742455,0.7565815856953222
20,306515,1576511,CENTRAL & WESTERN,22.282220000000002,114.15448,Entire home/apt,1056,30,20,1,194,22.284189950400627,114.14648174742455,0.8510672665160174
21,320446,1375696,WAN CHAI,22.27599,114.17976000000002,Private room,1001,1,15,18,76,22.275147891304314,114.18205756086955,0.25412047498067053
22,320447,1375696,WAN CHAI,22.27711,114.17772,Entire home/apt,2253,1,102,18,198,22.275147891304314,114.18205756086955,0.49647901229222197
23,327095,1529119,WAN CHAI,22.27909,114.17205,Entire home/apt,1158,3,226,1,307,22.275147891304314,114.18205756086955,1.118445906857442
25,355748,1267685,WAN CHAI,22.277160000000002,114.18786999999999,Private room,297,14,5,7,10,22.275147891304314,114.18205756086955,0.6381560102774438
26,389017,1946293,WAN CHAI,22.27814,114.19228000000001,Private room,485,2,40,2,364,22.275147891304314,114.18205756086955,1.1025184206906993
27,405722,2022316,CENTRAL & WESTERN,22.2816,114.15042,Entire home/apt,1017,1,0,1,0,22.284189950400627,114.14648174742455,0.49681393122662265
28,410921,1375696,WAN CHAI,22.27736,114.17948999999999,Private room,782,1,18,18,76,22.275147891304314,114.18205756086955,0.3607460097047849
29,412404,1991696,YAU TSIM MONG,22.29701,114.17138,Entire home/apt,548,1,217,3,325,22.3080085266259,114.17104818774976,1.2226885257072801
30,415520,1564983,YAU TSIM MONG,22.305979999999998,114.1659,Entire home/apt,1001,3,434,2,102,22.3080085266259,114.17104818774976,0.575283431991736
31,442781,2200572,CENTRAL & WESTERN,22.28756,114.13367,Entire home/apt,1244,5,10,1,0,22.284189950400627,114.14648174742455,1.3695572402103624
32,459463,2283777,WAN CHAI,22.27732,114.18291,Entire home/apt,383,1,74,16,365,22.275147891304314,114.18205756086955,0.25679981583311084
33,463214,2296168,CENTRAL & WESTERN,22.28753,114.14308,Entire home/apt,1322,3,20,1,227,22.284189950400627,114.14648174742455,0.510010046288816
34,468754,2254012,WAN CHAI,22.28073,114.17838,Entire home/apt,1103,3,197,1,212,22.275147891304314,114.18205756086955,0.7264956842975998
36,481671,2379932,CENTRAL & WESTERN,22.28571,114.15166,Entire home/apt,297,15,0,1,0,22.284189950400627,114.14648174742455,0.558605561094372
37,498484,2460679,YAU TSIM MONG,22.32193,114.16213,Entire home/apt,540,4,60,1,352,22.3080085266259,114.17104818774976,1.7982880614495362
40,505456,1189239,CENTRAL & WESTERN,22.28356,114.14835,Entire home/apt,876,1,189,1,262,22.284189950400627,114.14648174742455,0.2044619719860209
41,529539,2192939,WAN CHAI,22.27763,114.18318000000001,Entire home/apt,798,5,8,2,90,22.275147891304314,114.18205756086955,0.2990007552006997
42,534106,2625423,CENTRAL & WESTERN,22.284029999999998,114.14192,Entire home/apt,1001,1,12,2,8,22.284189950400627,114.14648174742455,0.46940163586449724
43,545658,2679225,CENTRAL & WESTERN,22.28276,114.12848000000001,Entire home/apt,751,5,2,1,0,22.284189950400627,114.14648174742455,1.857859149894522
44,548840,808933,CENTRAL & WESTERN,22.28505,114.14211,Entire home/apt,540,2,173,3,335,22.284189950400627,114.14648174742455,0.45957399571750107
45,554138,635161,CENTRAL & WESTERN,22.28378,114.1476,Entire home/apt,876,2,8,1,0,22.284189950400627,114.14648174742455,0.12368077372868762
47,562683,2767794,WAN CHAI,22.27787,114.17678000000001,Shared room,172,1,110,48,347,22.275147891304314,114.18205756086955,0.6213088539038707
48,562775,2767794,WAN CHAI,22.27931,114.17663,Shared room,282,1,188,48,361,22.275147891304314,114.18205756086955,0.7248574081175868
49,562795,2767794,WAN CHAI,22.27939,114.17777,Shared room,282,1,43,48,365,22.275147891304314,114.18205756086955,0.6454527424068724
50,562808,2767794,WAN CHAI,22.277620000000002,114.17623999999999,Shared room,282,1,25,48,365,22.275147891304314,114.18205756086955,0.6582887893057526
51,562817,2767794,WAN CHAI,22.277060000000002,114.17589,Shared room,282,1,155,48,362,22.275147891304314,114.18205756086955,0.6688680360373708
52,562840,2767794,WAN CHAI,22.27759,114.17671000000001,Shared room,282,1,28,48,365,22.275147891304314,114.18205756086955,0.6132160241749586
54,586083,1991696,YAU TSIM MONG,22.298460000000002,114.17233,Entire home/apt,454,1,292,3,285,22.3080085266259,114.17104818774976,1.0692335853081905
55,598668,2961152,WAN CHAI,22.28124,114.18418,Private room,399,28,3,7,365,22.275147891304314,114.18205756086955,0.7112972121624632
56,602959,1560343,CENTRAL & WESTERN,22.28774,114.14254,Entire home/apt,1174,2,2,1,361,22.284189950400627,114.14648174742455,0.5656008174034034
63,621305,3079511,YAU TSIM MONG,22.31501,114.16906999999999,Entire home/apt,759,1,379,4,280,22.3080085266259,114.17104818774976,0.8041792894150642
64,622020,3073447,CENTRAL & WESTERN,22.28387,114.14753,Entire home/apt,1197,5,28,1,0,22.284189950400627,114.14648174742455,0.11349998380543848
66,645404,634820,YAU TSIM MONG,22.32619,114.16461000000001,Shared room,227,1,142,5,64,22.3080085266259,114.17104818774976,2.1260625869624525
67,645950,3052154,YAU TSIM MONG,22.31629,114.1706,Entire home/apt,1001,4,162,4,173,22.3080085266259,114.17104818774976,0.9214323981127213
68,646645,634820,YAU TSIM MONG,22.32612,114.1647,Private room,454,1,36,5,48,22.3080085266259,114.17104818774976,2.1157997592828846
69,655190,808933,WAN CHAI,22.27871,114.18141999999999,Entire home/apt,696,2,171,3,326,22.275147891304314,114.18205756086955,0.4012322797324852
70,668338,3383055,YAU TSIM MONG,22.31128,114.16836,Private room,297,1,107,10,365,22.3080085266259,114.17104818774976,0.4566625176515575
71,669310,2083001,CENTRAL & WESTERN,22.28616,114.15247,Entire home/apt,853,2,181,5,309,22.284189950400627,114.14648174742455,0.6535018793219264
72,672039,3383055,YAU TSIM MONG,22.31008,114.17026000000001,Private room,352,1,150,10,365,22.3080085266259,114.17104818774976,0.2440385051037222
73,682768,3383055,YAU TSIM MONG,22.309420000000003,114.1685,Private room,297,1,134,10,347,22.3080085266259,114.17104818774976,0.3053389610574764
74,682794,3383055,YAU TSIM MONG,22.31145,114.16845,Private room,297,1,136,10,350,22.3080085266259,114.17104818774976,0.4664809108194783
75,682797,3383055,YAU TSIM MONG,22.31082,114.17003000000001,Private room,297,1,207,10,300,22.3080085266259,114.17104818774976,0.3294948062926555
77,714585,1452499,WAN CHAI,22.27904,114.17083999999998,Entire home/apt,1862,3,244,7,280,22.275147891304314,114.18205756086955,1.2319314262327963
78,719274,3707765,WAN CHAI,22.28519,114.19192,Private room,649,2,0,8,365,22.275147891304314,114.18205756086955,1.5079067796221066
79,720841,3383055,YAU TSIM MONG,22.305989999999998,114.1712,Private room,297,1,30,10,195,22.3080085266259,114.17104818774976,0.22485134269640464
